"gene","HR","z","pvalue","lower","upper"
"PAPSS2",1.37511572753956,3.22322943616483,0.00126753981557984,1.13297066214217,1.66901344166436
"SIRPG",0.767166549297978,-3.02059652896512,0.00252277279855116,0.645949267483061,0.911131173900126
"PLA2G2D",0.850263112451623,-2.8531354623715,0.00432901637098153,0.76060633834736,0.950488214398443
"GUCY1A2",1.4225067107869,2.79834694882936,0.00513649059830709,1.11136055367614,1.82076404956104
"TNFRSF9",0.772448188041944,-2.68219441286659,0.00731409406051441,0.639634625569351,0.932839123082447
"CXCR3",0.787555366266738,-2.65276813981249,0.00798346895597124,0.660160753401444,0.939533972202623
"CD27",0.784978341674483,-2.5294345648776,0.011424647493524,0.650709023472809,0.94695320745582
"PLOD3",0.55905485344321,-2.47736406603656,0.0132356815710207,0.352901295715625,0.88563667221631
"UGT1A4",1.18008028189262,2.43663778398695,0.0148245205508672,1.03292286343054,1.34820277584592
"GSTA4",1.63839490031601,2.42440391575924,0.0153335403522438,1.0991979057069,2.44208784918961
"B3GNT4",1.38113076545427,2.4221473945232,0.0154290910392751,1.06355261981898,1.79353814351842
"PNPLA6",0.499209484902282,-2.40158090721267,0.0163243986877596,0.283169971617022,0.88007251755299
"ENTPD6",0.594528578799846,-2.39811560499991,0.0164796632211078,0.388692007119899,0.909368406180609
"GSTM3",1.44291412962695,2.34392687428906,0.0190819122235283,1.06190452474398,1.96062935693682
"CCL3",0.724798859480373,-2.33637327180648,0.0194717957269758,0.553292945449812,0.949466988553357
"GSTA2",1.1526648334356,2.31403102883129,0.0206660201612061,1.02197696453541,1.30006474152098
"DNMT3B",1.7234820990544,2.30460408666711,0.0211887568929074,1.08480893830696,2.73816931338782
"CCL5",0.78853221263943,-2.29254173909439,0.0218744018966889,0.643586944491642,0.966121292067493
"ST6GAL2",1.16434163259759,2.2852641124889,0.0222973458925021,1.02189515477192,1.32664435394313
"CCL4",0.796020583772747,-2.26081122546088,0.02377094918044,0.653179652723578,0.970098757895728
"CD2",0.818170516571499,-2.20831415789707,0.0272223810712241,0.684682706668726,0.977683513351469
"PYGB",0.706192755042846,-2.19034483059574,0.0284992378586527,0.517293228271293,0.964072560821265
"BCAT1",1.38362220710736,2.161191336398,0.0306805623764197,1.03069475276855,1.8573980384186
"HS3ST3A1",1.2313854306086,2.14585993308314,0.0318841552836088,1.01819471266186,1.48921425328467
"SPN",0.779501486030289,-2.11199411660297,0.0346869539299975,0.618616303526665,0.982228504582628
"HACD4",1.28297662747828,2.11070918804624,0.0347973157657305,1.01795574639199,1.61699468025959
"VNN3",1.17108501280207,2.09186392264278,0.0364506901850025,1.01000787431611,1.35785090600235
"DGKE",1.43177911749312,2.06613664915004,0.0388155785693572,1.01861486297572,2.01252849904494
"B3GALNT1",1.25618441605936,2.0637941811621,0.0390372350189765,1.01154081455729,1.55999566645368
"GBA3",0.883638671813895,-2.04927499966369,0.0404352318659924,0.785038346357906,0.994623136497134
"ALPL",1.50586638882782,2.04662548785824,0.0406948703348065,1.01748524246274,2.22866483597613
"FBP2",1.1468793599619,2.04344798873624,0.0410081110904761,1.00561459108341,1.30798844604028
"ITGAL",0.783812964139867,-2.03834021486889,0.0415159207374346,0.620143966411451,0.990677642659041
"COX7B",1.64609190704615,2.02593559633477,0.0427713848866723,1.01636220934247,2.66599696597909
"CD74",0.784085352590882,-1.99381937562489,0.0461717973466295,0.617334303638538,0.995878305359069
"CYP3A4",1.13662738112376,1.97533801186557,0.0482298022724882,1.00099722837859,1.29063474592523
